VariableCode,RegionCode,YearCode,AggValue
rgdpna,ABW,1970,344.25830078125000000
rgdpna,ABW,1971,375.54614257812500000
rgdpna,ABW,1972,409.67758178710900000
rgdpna,ABW,1973,446.91104125976600000
rgdpna,ABW,1974,487.52847290039100000
rgdpna,ABW,1975,531.83740234375000000
rgdpna,ABW,1976,580.17333984375000000
rgdpna,ABW,1977,632.90228271484400000
rgdpna,ABW,1978,690.42346191406300000
rgdpna,ABW,1979,753.17242431640600000
rgdpna,ABW,1980,821.62438964843800000
rgdpna,ABW,1981,896.29754638671900000
rgdpna,ABW,1982,977.75732421875000000
rgdpna,ABW,1983,1066.62060546875000000
rgdpna,ABW,1984,1163.56018066406000000
rgdpna,ABW,1985,1269.31018066406000000
rgdpna,ABW,1986,1384.67114257813000000
rgdpna,ABW,1987,1607.30456542969000000
rgdpna,ABW,1988,1907.04504394531000000
rgdpna,ABW,1989,2138.36669921875000000
rgdpna,ABW,1990,2223.07592773438000000
rgdpna,ABW,1991,2400.09667968750000000
rgdpna,ABW,1992,2541.27880859375000000
rgdpna,ABW,1993,2726.98754882813000000
rgdpna,ABW,1994,2950.70703125000000000
rgdpna,ABW,1995,3024.67407226563000000
rgdpna,ABW,1996,3062.33374023438000000
rgdpna,ABW,1997,3301.63793945313000000
rgdpna,ABW,1998,3521.74560546875000000
rgdpna,ABW,1999,3562.40307617188000000
rgdpna,ABW,2000,3723.21215820313000000
rgdpna,ABW,2001,3612.76416015625000000
rgdpna,ABW,2002,3493.96704101563000000
rgdpna,ABW,2003,3563.91308593750000000
rgdpna,ABW,2004,3845.91723632813000000
rgdpna,ABW,2005,3892.54785156250000000
rgdpna,ABW,2006,3933.62719726563000000
rgdpna,ABW,2007,4013.56542968750000000
rgdpna,ABW,2008,4019.11669921875000000
rgdpna,ABW,2009,3563.91308593750000000
rgdpna,ABW,2010,3444.00561523438000000
rgdpna,ABW,2011,3566.13354492188000000
rgdpna,ABW,2012,3517.28222656250000000
rgdpna,ABW,2013,3664.94604492188000000
rgdpna,ABW,2014,3696.03320312500000000
rgdpna,ABW,2015,3679.37939453125000000
rgdpna,ABW,2016,3671.60742187500000000
rgdpna,ABW,2017,3720.45874023438000000
rgdpna,AGO,1970,48793.81640625000000000
rgdpna,AGO,1971,51721.44531250000000000
rgdpna,AGO,1972,51824.88671875000000000
rgdpna,AGO,1973,56022.70312500000000000
rgdpna,AGO,1974,57759.40625000000000000
rgdpna,AGO,1975,54871.43750000000000000
rgdpna,AGO,1976,52018.12109375000000000
rgdpna,AGO,1977,52434.26562500000000000
rgdpna,AGO,1978,49655.25000000000000000
rgdpna,AGO,1979,49804.21484375000000000
rgdpna,AGO,1980,50999.51562500000000000
rgdpna,AGO,1981,48755.53906250000000000
rgdpna,AGO,1982,48755.53906250000000000
rgdpna,AGO,1983,50803.26953125000000000
rgdpna,AGO,1984,53851.46875000000000000
rgdpna,AGO,1985,55736.26953125000000000
rgdpna,AGO,1986,57506.54687500000000000
rgdpna,AGO,1987,61532.21875000000000000
rgdpna,AGO,1988,64961.33593750000000000
rgdpna,AGO,1989,65213.04296875000000000
rgdpna,AGO,1990,64923.07812500000000000
rgdpna,AGO,1991,65566.70312500000000000
rgdpna,AGO,1992,61738.73046875000000000
rgdpna,AGO,1993,46931.67578125000000000
rgdpna,AGO,1994,47560.25781250000000000
rgdpna,AGO,1995,54694.29687500000000000
rgdpna,AGO,1996,62102.29687500000000000
rgdpna,AGO,1997,66619.78906250000000000
rgdpna,AGO,1998,69745.02343750000000000
rgdpna,AGO,1999,71266.50000000000000000
rgdpna,AGO,2000,73443.42968750000000000
rgdpna,AGO,2001,75749.54687500000000000
rgdpna,AGO,2002,86755.96093750000000000
rgdpna,AGO,2003,89349.82812500000000000
rgdpna,AGO,2004,99136.39843750000000000
rgdpna,AGO,2005,114035.79687500000000000
rgdpna,AGO,2006,127318.64062500000000000
rgdpna,AGO,2007,145155.14062500000000000
rgdpna,AGO,2008,161360.90625000000000000
rgdpna,AGO,2009,162746.26562500000000000
rgdpna,AGO,2010,170654.45312500000000000
rgdpna,AGO,2011,176579.54687500000000000
rgdpna,AGO,2012,191663.23437500000000000
rgdpna,AGO,2013,201159.35937500000000000
rgdpna,AGO,2014,210860.53125000000000000
rgdpna,AGO,2015,212850.15625000000000000
rgdpna,AGO,2016,207358.42187500000000000
rgdpna,AGO,2017,202174.45312500000000000
rgdpna,AIA,1970,36.79071807861330000
rgdpna,AIA,1971,35.87147903442380000
rgdpna,AIA,1972,40.01049041748050000
rgdpna,AIA,1973,41.68257522583010000
rgdpna,AIA,1974,41.59850692749020000
rgdpna,AIA,1975,43.02186965942380000
rgdpna,AIA,1976,43.68904876708980000
rgdpna,AIA,1977,43.77137756347660000
rgdpna,AIA,1978,47.03155136108400000
rgdpna,AIA,1979,51.50494766235350000
rgdpna,AIA,1980,54.01387405395510000
rgdpna,AIA,1981,56.02375411987300000
rgdpna,AIA,1982,55.39690399169920000
rgdpna,AIA,1983,55.44231033325200000
rgdpna,AIA,1984,57.90923690795900000
rgdpna,AIA,1985,65.35533142089840000
rgdpna,AIA,1986,73.68766021728520000
rgdpna,AIA,1987,81.52473449707030000
rgdpna,AIA,1988,94.21002960205080000
rgdpna,AIA,1989,102.21936798095700000
rgdpna,AIA,1990,128.28897094726600000
rgdpna,AIA,1991,104.98512268066400000
rgdpna,AIA,1992,135.12046813964800000
rgdpna,AIA,1993,145.15394592285200000
rgdpna,AIA,1994,156.77532958984400000
rgdpna,AIA,1995,153.13711547851600000
rgdpna,AIA,1996,156.97601318359400000
rgdpna,AIA,1997,173.75373840332000000
rgdpna,AIA,1998,191.66567993164100000
rgdpna,AIA,1999,198.73274230957000000
rgdpna,AIA,2000,201.26292419433600000
rgdpna,AIA,2001,206.12039184570300000
rgdpna,AIA,2002,198.27468872070300000
rgdpna,AIA,2003,209.47738647460900000
rgdpna,AIA,2004,239.07151794433600000
rgdpna,AIA,2005,270.46896362304700000
rgdpna,AIA,2006,325.32006835937500000
rgdpna,AIA,2007,368.70941162109400000
rgdpna,AIA,2008,363.35101318359400000
rgdpna,AIA,2009,296.46887207031300000
rgdpna,AIA,2010,283.26498413085900000
rgdpna,AIA,2011,294.84100341796900000
rgdpna,AIA,2012,276.10299682617200000
rgdpna,AIA,2013,274.28350830078100000
rgdpna,AIA,2014,288.18002319335900000
rgdpna,AIA,2015,297.24902343750000000
rgdpna,AIA,2016,293.27798461914100000
rgdpna,AIA,2017,270.56665039062500000
rgdpna,ALB,1970,8699.78125000000000000
rgdpna,ALB,1971,9047.84375000000000000
rgdpna,ALB,1972,9411.01660156250000000
rgdpna,ALB,1973,9789.14257812500000000
rgdpna,ALB,1974,10177.83398437500000000
rgdpna,ALB,1975,10590.36328125000000000
rgdpna,ALB,1976,11017.14648437500000000
rgdpna,ALB,1977,11439.00390625000000000
rgdpna,ALB,1978,11931.07324218750000000
rgdpna,ALB,1979,12403.55566406250000000
rgdpna,ALB,1980,12804.35156250000000000
rgdpna,ALB,1981,13540.03613281250000000
rgdpna,ALB,1982,13939.28515625000000000
